raw_token,regex_extracted,digits_hyphen_extracted
656,,
889,,
293,,
162,,
658,,
730,,
958,,
773,,
957,,
893,,
92,,
890,,
964,,
732,,
776,,
104,,
1104,,
750,,
586,,
754,,
442,,
726,,
938,,
570,,
9,,
333,,
1115,,
871,,
1001,,
305,,
892,,
299,,
967,,
1102,,
421,,
968,,
759,,
1045,,
1049,,
927,,
390,,
894,,
1046,,
566,,
608,,
620,,
2,,
969,,
270,,
715,,
214,,
311,,
388,,
221,,
61,,
71,,
516,,
594,,
433,,
97,,
451,,
232,,
731,,
15,,
601,,
1070,,
1011,,
1005,,
973,,
1048,,
1108,,
1002,,
45,,
888,,
1099,,
960,,
780,,
1004,,
557,,
716,,
415,,
1003,,
555,,
872,,
963,,
966,,
895,,
610,,
538,,
615,,
953,,
478,,
98,,
1006,,
1044,,
943,,
987,,
140,,
1097,,
1101,,
1029,,
1069,,
1007,,
909,,
933,,
908,,
593,,
1103,,
898,,
1129,,
1032,,
1147,,
955,,
74,,
68,,
60,,
911,,
1116,,
1191,,
916,,
1122,,
1075,,
514,,
1098,,
696,,
1131,,
1068,,
556,,
1178,,
1017,,
986,,
1242,,
877,,
945,,
